Organization Name,Status,Custom Status,Organization Class,AxisCare Organization ID,Address1,Address2,City,Created By,Created In AxisCare,Email,Fax,Mailing/Billing Address,Mailing/Billing Address (line 1),Mailing/Billing Address (line 2),Mailing/Billing City,Mailing/Billing State,Mailing/Billing Zip Code,Marketing Notes,Mobile Phone,Office Phone,Organization Notes,State,Zip Code
Riverside Presbyterian Apartments,Active,Active,Retirement Facilities (CCRCs),16,1045 Oak Street,,Jacksonville,,11/13/2024,,," 1045 Oak Street,   Jacksonville, FL  32204",1045 Oak Street,,Jacksonville,FL,32204,,,904-353-6111,,FL,32204
Riverside Presbyterian House Inc,Active,Active,"Indp. Living Facility, Retirement Facilities (CCRCs)",13,2020 Park Street,,Jacksonville,,11/13/2024,,," 2020 Park Street,   Jacksonville, FL  32204",2020 Park Street,,Jacksonville,FL,32204,,,904-388-9376,,FL,32204
RiverTown- WaterSong,Active,Active,55+ Independent Living Communities,83,"92 Pelton Pl Saint Johns,",,Jacksonville,,7/7/2025,,," 92 Pelton Pl Saint Johns,,   Jacksonville, FL  32259","92 Pelton Pl Saint Johns,",,Jacksonville,FL,32259,,,904-606-9781,,FL,32259
Riverwood Center,Active,Active,Nursing Home Facilities,26,2802 Parental Home Road,,Jacksonville,,11/13/2024,,," 2802 Parental Home Road,   Jacksonville, FL  32216",2802 Parental Home Road,,Jacksonville,FL,32216,,,904-721-0088,,FL,32216
Roberet N. Miller,Active,,Elder Care Law Firm,40,,,,,12/16/2024,,,,,,,,,,,,,,
Rogers Towers,Active,Active,Elder Care Law Firm,99,1301 Riverplace Blvd. Suite 1500,,Jacksonville,,7/18/2025,,," 1301 Riverplace Blvd. Suite 1500,   Jacksonville, FL  32207",1301 Riverplace Blvd. Suite 1500,,Jacksonville,FL,32207,,,904-398-3911,,FL,32207
Rosecastle At Deerwood,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",62,8929 R G Skinner Pkwy.,,Jacksonville,,6/10/2025,,," 8929 R G Skinner Pkwy.,   Jacksonville , FL  32256",8929 R G Skinner Pkwy.,,Jacksonville,FL,32256,,,904-513-6990,,FL,32256
San Jose Manor,Active,Active,Retirement Facilities (CCRCs),23,3630 Galicia Road,,Jacksonville,,11/13/2024,,," 3630 Galicia Road,   Jacksonville, FL  32217",3630 Galicia Road,,Jacksonville,FL,32217,,,904-739-0555,,FL,32217
Senior Living Placement,Active,Active,Senior Placement Companies,144,,,,,3/17/2026,,,,,,,,,,,904-933-5105,,,
Signature Healthcare of Orange Park,Active,Active,Rehabilitation  / PT Facilites,39,2029 Professional Centrer Drive,,Jacksonville,,11/18/2024,,," 2029 Professional Centrer Drive,   Jacksonville, FL  32073",2029 Professional Centrer Drive,,Jacksonville,FL,32073,,,904-2726194,,FL,32073
Silver Creek of St. Augustine,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",94,165 Silver Ln.,,St. Augustine,,7/8/2025,,," 165 Silver Ln.,   St. Augustine , FL  32084",165 Silver Ln.,,St. Augustine,FL,32084,,,904-584-9041,,FL,32084
Silver Treasures At Ponte Vedra,Active,Active,Assisted Living Facility,46,119 Da Vinci Blvd.,,Ponte Vedra,,6/10/2025,epiragine@silvertreasurespv.com,," 119 Da Vinci Blvd.,   Ponte Vedra , FL  32081",119 Da Vinci Blvd.,,Ponte Vedra,FL,32081,,,904-326-0900,,FL,32081
Smart body Physical Therapy,Active,Active,Rehabilitation  / PT Facilites,38,11555 Central Parkway #202,,Jacksonville,,11/18/2024,,," 11555 Central Parkway #202,   Jacksonville, FL  32224",11555 Central Parkway #202,,Jacksonville,FL,32224,,,904-296-4140,smartbodypt.com,FL,32224
Smith Hulsey & Busey,Active,Active,Elder Care Law Firm,73,One Independent Dr. #3300,,Jacksonville,,7/2/2025,,," One Independent Dr. #3300,   Jacksonville, FL  32202",One Independent Dr. #3300,,Jacksonville,FL,32202,,,904-359-7700,,FL,32202
Sodalis Senior Living,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",64,7620 Timberlin Park Blvd.,,Jacksonville,,6/10/2025,jacksonville@sodalissenior.com,," 7620 Timberlin Park Blvd.,   Jacksonville , FL  32256",7620 Timberlin Park Blvd.,,Jacksonville,FL,32256,,,904-519-9300,,FL,32256
Southeast Orthopedic Specialist,Active,Active,"Hospital, Skilled Service Providers",107,232 Ponte Vedra Park,,,,3/5/2026,,,,232 Ponte Vedra Park,,,FL,32081,,,,Provider of comprehensive orthopedic and spine care,FL,32081
St. Catherine Laboure,Active,Active,Nursing Home Facilities,27,1750 Stockton Street,,Jacksonville,,11/13/2024,,," 1750 Stockton Street,   Jacksonville, FL  32204",1750 Stockton Street,,Jacksonville,FL,32204,,,904-308-4700,,FL,32204
Starling at  San Jose,Active,,Assisted Living Facility,71,,,,,7/1/2025,,,,,,,,,,,,,,
Starling Nocatee,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",43,999 Crosswater Parkway,,Ponte Vedra,,6/10/2025,nocatee@starlingliving.com,," 999 Crosswater Parkway,   Ponte Vedra , FL  32081",999 Crosswater Parkway,,Ponte Vedra,FL,32081,,,904-822-4647,,FL,32081
Starling Ponte Vedra,Active,Active,Indp. Living Facility,44,405 Solana Road,,Ponte Vedra Beach,,6/10/2025,pontevedra@starlingliving.com,," 405 Solana Road,   Ponte Vedra Beach, FL  32082",405 Solana Road,,Ponte Vedra Beach,FL,32082,,,904-822-4536,,FL,32082
Sweetwater by Del Webb,Active,Active,55+ Independent Living Communities,79,9039 Del Webb Parkway,,Jacksonville,,7/7/2025,,,,,,,,,,,904-519-6673,,FL,32256
Taylor Residences,Active,Active,"Indp. Living Facility, Retirement Facilities (CCRCs)",4,6601 Chester Avenue,,Jacksonville,,11/13/2024,,," 6601 Chester Avenue,   Jacksonville, FL  32217",6601 Chester Avenue,,Jacksonville,FL,32217,,,904-636-0313,"Taylor-residences.org
Also listed as a Rehabilitation Facility",FL,32217
The Addison at St. Johns,Active,Active,Assisted Living Facility,103,115 Benton Ln,,St. Augustine,,3/4/2026,,,,,,,,,,,904-671-0808,,FL,32092
The Addison of St. Johns,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",95,115 Benton Ln.,,St. Augustine,,7/8/2025,,," 115 Benton Ln.,   St. Augustine , FL  32092",115 Benton Ln.,,St. Augustine,FL,32092,,,904-892-8100,,FL,32092
The Arc Jacksonville Pooled Trust,Active,Active,Trust / Estate Management Companies,42,1050 North Davis Street,,Jacksonville,,12/16/2024,,," 1050 North Davis Street,   Jacksonville, FL  32209",1050 North Davis Street,,Jacksonville,FL,32209,,,904-355-0155,,FL,32209
The Blake at St. Johns,Active,Active,Assisted Living Facility,47,2430 County Road 210,,St. Johns,,6/10/2025,milton@blakeseniorliving.com,," 2430 County Road 210,   St. Johns, FL  32259",2430 County Road 210,,St. Johns,FL,32259,,,904-717-5702,,FL,32259
The Coves at River Garden,Active,Active,Indp. Living Facility,90,11401 Old St. Augustine Rd.,,Jacksonville,,7/7/2025,,," 11401 Old St. Augustine Rd.,   Jacksonville, FL  32258",11401 Old St. Augustine Rd.,,Jacksonville,FL,32258,,,904-260-1818,,FL,32258
The Gables,Active,Active,Assisted Living Facility,152,3455 San Pablo Rd S,,Jacksonville,,3/20/2026,,9048218002," 3455 San Pablo Rd S,   Jacksonville, FL  32224",3455 San Pablo Rd S,,Jacksonville,FL,32224,,,9048218030,,FL,32224
The Rose Program,Active,Active,Hospice Agency,153,,,,,3/20/2026,,878-201-3584,,,,,,,,,878-201-3312,"Consultative physician practice specializing in palliative medicine serving communities nationwide.

Palliative Care

https://pcmanetwork.com/welcome-to-the-rose-program/",,
The Terrace of Jacksonville,Active,Active,Nursing Home Facilities,28,10680 Old St. Augustine Road,,Jacksonville,,11/13/2024,,," 10680 Old St. Augustine Road,   Jacksonville, FL  32257",10680 Old St. Augustine Road,,Jacksonville,FL,32257,,,904-268-4953,,FL,32257
The Towers of Jacksonville,Active,Active,Retirement Facilities (CCRCs),14,1400 LeBaron Avenue,,Jacksonville,,11/13/2024,,," 1400 LeBaron Avenue,   Jacksonville, FL  32207",1400 LeBaron Avenue,,Jacksonville,FL,32207,,,904-398-3406,,FL,32207
The Windsor At San Pablo,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",59,4000 San Pablo Pkwy.,,Jacksonville,,6/10/2025,,," 4000 San Pablo Pkwy.,   Jacksonville, FL  32224",4000 San Pablo Pkwy.,,Jacksonville,FL,32224,,,904-420-3785,,FL,32224
Traveling Light 904 Jax,Active,Active,Move Management / Organization Co's.,149,,,,,3/19/2026,sheli@travelinglight904jax.org,,,,,,,,,,904-333-6247,Full service of personalized options for all moving and organizing needs.,,
Trilogy,Active,Active,Home Health Agency,121,12740 Gran Bay Parkway W,Lakeside Two at Flagler Center suite 240,Jacksonville,,3/6/2026,,," 12740 Gran Bay Parkway W,  Lakeside Two at Flagler Center suite 240,  Jacksonville, FL  32258",12740 Gran Bay Parkway W,Lakeside Two at Flagler Center suite 240,Jacksonville,FL,32258,,,904-229-0510,Skilled Nursing Home Care- requires orders from doctor,FL,32258
UF Health Jacksonville,Active,Active,Rehabilitation  / PT Facilites,31,655 West 8th Street,,Jacksonville,,11/18/2024,,," 655 West 8th Street,   Jacksonville, FL  32209",655 West 8th Street,,Jacksonville,FL,32209,,,904-244-0411,ufhealthjax.org/,FL,32209
UF Orthopedics- Nocatee,Active,Active,Hospital,109,351 Town Plaza Ave,suite 201,,,3/5/2026,,,,351 Town Plaza Ave,suite 201,,FL,32081,,,888-481-2135,,FL,32081
Vicar's Landing at Sawgrass,Active,Active,Retirement Facilities (CCRCs),5,1000 Vicar's Landing Way,,Ponte Vedra Beach,,11/13/2024,,," 1000 Vicar's Landing Way,   Ponte Vedra Beach, FL  32082",1000 Vicar's Landing Way,,Ponte Vedra Beach,FL,32082,,,904-285-1055,,FL,32082
Villages of Seloy,Active,Active,55+ Independent Living Communities,97,"48 Utina way, Seloy Dr.",,St. Augustine,,7/8/2025,,," 48 Utina way, Seloy Dr.,   St. Augustine,   32080","48 Utina way, Seloy Dr.",,St. Augustine,,32080,,,904-584-3290,,,32080
Welcome Home Software,Active,Active,Vendors (Misc.),135,,,,,3/17/2026,,,,,,,,,,,,CRM Software Vendor,,
West Minister ST. AUGUSTINE,Active,Active,"Assisted Living Facility, Indp. Living Facility, Retirement Facilities (CCRCs)",11,230 Towerview Drive,,Saint Augustine,,11/13/2024,,," 230 Towerview Drive,   Saint Augustine, FL  32092",230 Towerview Drive,,Saint Augustine,FL,32092,,,904-940-4800,,FL,32092
Westchester Baymeadows,Active,Active,Assisted Living Facility,63,8700 A.C. Skinner Pkwy,,Jacksonville,,6/10/2025,,," 8700 A.C. Skinner Pkwy,   Jacksonville, FL  32256",8700 A.C. Skinner Pkwy,,Jacksonville,FL,32256,,,904-594-1444,,FL,32256
Westminster Woods On Julington Creek,Active,Active,Retirement Facilities (CCRCs),7,25 State Road,,Jacksonville,,11/13/2024,,," 25 State Road ,   Jacksonville, FL  32259",25 State Road,,Jacksonville,FL,32259,,,904-287-7300,,FL,32259
Windsor at Ortega,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",78,5939 Roosevelt Blvd.,,Jacksonville,,7/2/2025,,," 5939 Roosevelt Blvd.,   Jacksonville , FL  32244",5939 Roosevelt Blvd.,,Jacksonville,FL,32244,,,904-353-9500,,FL,32244
Windsor at San Pablo,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",66,4000 San Pablo Pkwy,,Jacksonville,,6/24/2025,,," 4000 San Pablo Pkwy,   Jacksonville, FL  32224",4000 San Pablo Pkwy,,Jacksonville,FL,32224,,,904-928-3700,,FL,32224
Windsor Pointe of Jacksonville,Active,Active,"Indp. Living Facility, 55+ Independent Living Communities",89,4060 San Pablo Pkwy,,Jacksonville,,7/7/2025,,," 4060 San Pablo Pkwy,   Jacksonville, FL  32224",4060 San Pablo Pkwy,,Jacksonville,FL,32224,,,904-490-6300,,FL,32224
Wolfson Children's Hospital,Active,Active,Rehabilitation  / PT Facilites,34,800 Prudential Drive,,Jacksonville,,11/18/2024,,," 800 Prudential Drive,   Jacksonville, FL  32207",800 Prudential Drive,,Jacksonville,FL,32207,,,904-202-8000,baptistjax.com,FL,32207
Wyndham Lakes (Pacifica),Active,Active,"Assisted Living Facility, Indp. Living Facility, Retirement Facilities (CCRCs), Mental Health / Cognitive Care Facilities",67,10660 Old Saint Augustine Road,,Jacksonville,,6/24/2025,WyndhamLakes.com,," 10660 Old Saint Augustine Road,   Jacksonville , FL  32257",10660 Old Saint Augustine Road,,Jacksonville,FL,32257,,,904-326-8944,,FL,32257
